id,role_0,role_1,role_2,role_3,role_4
0,2,13,1,0,0
52,7,25,21,0,0
13,8,35,26,2,0
1,1,16,0,0,0
63,17,50,133,3,0
2,1,7,0,0,0
47,8,27,28,0,0
3,6,19,13,2,0
21,6,22,13,2,0
65,6,36,11,4,0
19,12,37,65,1,0
32,3,13,3,0,0
4,1,7,0,0,0
39,8,20,27,1,0
5,1,11,0,0,0
6,1,4,0,0,0
22,5,31,10,0,0
7,1,5,0,0,0
8,1,7,0,0,0
9,1,1,0,0,0
34,2,11,1,0,0
10,2,20,1,0,0
30,5,20,10,0,0
11,2,8,1,0,0
46,4,17,6,0,0
12,1,11,0,0,0
61,10,35,42,3,0
60,4,28,5,1,0
14,2,8,1,0,0
15,1,5,0,0,0
24,6,27,15,0,0
16,2,12,1,0,0
17,1,1,0,0,0
31,2,16,1,0,0
18,4,11,6,0,0
38,1,3,0,0,0
20,1,3,0,0,0
53,1,5,0,0,0
23,1,4,0,0,0
58,5,13,10,0,0
25,1,4,0,0,0
26,1,9,0,0,0
27,2,23,1,0,0
28,3,25,2,1,0
29,1,11,0,0,0
44,2,20,1,0,0
33,1,7,0,0,0
35,1,1,0,0,0
70,2,7,1,0,0
36,1,4,0,0,0
37,1,9,0,0,0
41,3,26,2,1,0
40,1,4,0,0,0
45,5,16,10,0,0
42,1,9,0,0,0
43,1,6,0,0,0
68,1,4,0,0,0
69,1,3,0,0,0
48,1,2,0,0,0
62,3,10,3,0,0
49,2,18,1,0,0
50,1,11,0,0,0
51,1,7,0,0,0
57,1,6,0,0,0
54,1,16,0,0,0
55,1,3,0,0,0
56,1,16,0,0,0
59,1,11,0,0,0
64,1,3,0,0,0
66,1,4,0,0,0
67,1,5,0,0,0
